month,incident_zip,hours_elapsed
1,10819.048978169307,39.85275817250289
2,10808.65716220167,70.91295978640147
3,10809.670399742417,82.34366875407711
4,10779.693216208467,78.52451247748056
5,10767.467217962701,93.62494317774248
6,10763.91410608202,111.92904687527033
7,10783.382466447078,106.70994674708291
8,10805.860523650086,122.85084388829594
9,10812.904550884707,170.1975542644955
