incident_zip,month,hours_elapsed
83.0,4,1.1994444444444445
83.0,5,0.2654166666666667
83.0,6,1.1813888888888888
10000.0,1,26.121666666666666
10000.0,2,58.97623456790123
10000.0,3,116.62283333333335
10000.0,4,0.8078073286052009
10000.0,5,1.7456851851851847
10000.0,6,13.501230158730152
10000.0,7,86.08411764705885
10000.0,8,87.12808479532164
10000.0,9,44.606301169590644
10001.0,1,42.88410451547437
10001.0,2,50.809385774301056
10001.0,3,98.89462458745871
10001.0,4,147.01561447811432
10001.0,5,190.92777093783272
10001.0,6,137.98654250601808
10001.0,7,53.570247807017495
10001.0,8,86.93194387052351
10001.0,9,92.01702679317334
10002.0,1,39.92341619981327
10002.0,2,63.3518865829703
10002.0,3,74.2017966763132
10002.0,4,56.57416841212844
10002.0,5,100.10729174272842
10002.0,6,99.19287113708954
10002.0,7,108.08199864498654
10002.0,8,105.34653541260576
10002.0,9,88.12332667533748
10003.0,1,41.471363159472446
10003.0,2,61.225939847516635
10003.0,3,83.31346092503978
10003.0,4,102.47855902777789
10003.0,5,162.87100019718042
10003.0,6,193.7795115826156
10003.0,7,106.3285911355519
10003.0,8,119.60422311468086
10003.0,9,145.3076664562291
10004.0,1,20.636294261294275
10004.0,2,37.461492650237794
10004.0,3,140.6563680555555
10004.0,4,73.76597046413502
10004.0,5,141.97547582304526
10004.0,6,127.39722379158806
10004.0,7,71.4596284935242
10004.0,8,94.14943917018284
10004.0,9,196.78120967741924
10005.0,1,13.539992319508446
10005.0,2,38.087380824372794
10005.0,3,68.83591815097542
10005.0,4,118.93670411985023
10005.0,5,235.60207391713735
10005.0,6,248.6302247474748
10005.0,7,114.3926093613298
10005.0,8,93.90463969404183
10005.0,9,105.79613756613759
10006.0,1,20.255274470899472
10006.0,2,32.958611111111104
10006.0,3,69.66663832199545
10006.0,4,212.8209343434343
10006.0,5,95.83930555555558
10006.0,6,148.0307147696477
10006.0,7,54.2695442286947
10006.0,8,178.61956997863246
10006.0,9,86.65019943019942
10007.0,1,18.095675740210112
10007.0,2,42.91134512937601
